Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Inflight Entertainment,Recommended
Not available,Solo Leisure,Economy Class,Other,September 2015,4,5,4,5,5,3,1
Boeing 777,Business,Business Class,Other,November 2015,3,1,1,1,3,3,0
A380,Couple Leisure,Business Class,Other,October 2015,4,5,3,2,3,4,0
Boeing 747-400,Solo Leisure,Economy Class,Other,September 2015,3,3,3,5,5,2,1
Not available,Family Leisure,Economy Class,Other,October 2015,4,3,1,4,3,3,1
Boeing 777-200,Couple Leisure,Premium Economy,Other,October 2015,2,2,3,2,1,1,0
A380,Solo Leisure,Premium Economy,Other,October 2015,4,4,4,4,4,4,1
A321,Business,Economy Class,Other,October 2015,4,5,5,4,3,1,1
Other,Solo Leisure,Business Class,Other,Other,4,1,2,2,3,4,1
Other,Business,Business Class,Other,Other,4,3,2,4,4,3,1
Other,Business,First Class,Other,Other,5,5,5,4,5,5,1
Other,Couple Leisure,Economy Class,Other,October 2015,1,4,3,1,2,2,0
Boeing 777,Solo Leisure,Premium Economy,Other,October 2015,4,3,4,3,4,3,1
A380,Solo Leisure,Economy Class,Other,September 2015,5,4,4,5,4,4,1
Boeing 787,Couple Leisure,Economy Class,Other,October 2015,5,5,5,4,5,5,1
Not available,Couple Leisure,Business Class,Other,October 2015,4,4,5,4,4,3,1
Not available,Solo Leisure,Economy Class,Other,September 2015,2,3,3,1,2,4,0
Boeing 747-400,Business,Premium Economy,Other,October 2015,4,5,4,3,4,3,1
Not available,Solo Leisure,Economy Class,Other,September 2015,1,1,3,1,1,3,0
Boeing 747-400,Couple Leisure,Premium Economy,Other,October 2015,2,4,2,2,1,2,0
Not available,Couple Leisure,Economy Class,Other,Other,3,4,3,1,2,1,0
Boeing 777,Couple Leisure,Economy Class,Other,October 2015,2,1,2,4,3,2,0
Other,Business,Economy Class,London to Cape Town,October 2015,1,2,3,4,1,2,0
Boeing 777-200,Business,Business Class,Other,October 2015,2,5,4,2,3,2,0
A319,Solo Leisure,Economy Class,Other,October 2015,4,4,2,1,4,2,1
A320,Solo Leisure,Business Class,Other,October 2015,3,4,2,4,2,2,0
Not available,Couple Leisure,Economy Class,Other,August 2015,1,2,1,1,1,1,0
Boeing 777,Couple Leisure,Premium Economy,Other,October 2015,4,4,4,3,4,4,1
Not available,Solo Leisure,Premium Economy,Other,September 2015,2,4,2,2,1,2,0
Boeing 777-200,Couple Leisure,Business Class,Other,October 2015,1,4,3,4,2,4,0
A380,Couple Leisure,Premium Economy,Other,October 2015,5,5,4,4,3,5,1
A319,Couple Leisure,Business Class,Other,October 2015,2,4,2,2,2,3,0
Other,Family Leisure,Business Class,Other,October 2015,4,2,2,1,1,2,0
Boeing 777-200,Business,Economy Class,Other,October 2015,1,2,1,4,2,2,0
A380,Couple Leisure,Business Class,Other,October 2015,4,5,5,4,4,4,1
Boeing 747-400,Business,Business Class,Other,October 2015,3,2,2,1,1,1,0
A320,Business,Business Class,Other,October 2015,1,2,2,1,1,5,0
Boeing 777,Couple Leisure,Business Class,Other,October 2015,4,5,3,4,4,4,1
Boeing 777-200,Family Leisure,Premium Economy,Other,October 2015,4,3,3,3,3,4,1
Boeing 747,Business,Premium Economy,Vancouver to London,September 2015,3,1,2,4,2,1,0
A320,Couple Leisure,Economy Class,Other,October 2015,4,3,3,5,5,2,1
A319,Solo Leisure,Economy Class,Other,October 2015,2,3,2,3,4,4,0
Other,Couple Leisure,Economy Class,Other,October 2015,3,3,2,3,3,1,0
A320,Couple Leisure,Business Class,Other,October 2015,2,2,3,4,3,3,0
Not available,Solo Leisure,Economy Class,Other,August 2015,1,1,3,1,1,1,0
A319,Couple Leisure,Business Class,Other,September 2015,4,5,4,5,5,5,1
Not available,Solo Leisure,Business Class,Other,October 2015,1,1,1,1,2,4,0
Not available,Business,Business Class,Other,September 2015,1,2,1,1,1,1,0
Boeing 777,Solo Leisure,Business Class,Other,September 2015,4,2,1,2,1,2,0
A319,Solo Leisure,Economy Class,Other,October 2015,3,4,3,3,3,1,1
Other,Family Leisure,First Class,Other,October 2015,4,4,3,3,3,1,1
Not available,Solo Leisure,Economy Class,Other,September 2015,5,5,5,4,5,5,1
Boeing 777-200,Couple Leisure,Economy Class,Other,October 2015,3,3,4,1,1,2,0
Other,Couple Leisure,Economy Class,Other,October 2015,4,5,2,4,4,1,1
Boeing 777-200,Business,Economy Class,Other,October 2015,2,3,1,3,3,2,0
A380,Business,Business Class,Other,August 2015,4,4,4,4,5,4,1
Boeing 777-200,Family Leisure,Economy Class,Other,August 2015,2,4,3,5,4,3,1
A320,Solo Leisure,Economy Class,Other,October 2015,1,4,3,1,1,2,0
Boeing 777-200,Solo Leisure,Economy Class,Other,Other,4,4,3,3,3,3,1
Boeing 777-200,Couple Leisure,Premium Economy,Other,October 2015,3,4,4,4,3,2,1
A320,Couple Leisure,Business Class,Other,October 2015,4,5,5,4,5,1,1
Boeing 747-400,Couple Leisure,Economy Class,Other,October 2015,1,2,2,3,3,2,1
Boeing 747,Family Leisure,Economy Class,Other,Other,1,4,1,3,3,1,0
Not available,Couple Leisure,Economy Class,Other,September 2015,4,4,4,1,2,4,0
Other,Business,First Class,Other,September 2015,5,4,5,5,5,5,1
Other,Couple Leisure,Premium Economy,Other,September 2015,3,4,4,3,2,3,0
Boeing 747-400,Couple Leisure,Economy Class,Cape Town to London,October 2015,4,4,4,5,4,4,1
A380,Business,Business Class,Other,September 2015,3,3,4,4,3,4,1
Other,Business,Premium Economy,Other,September 2015,5,3,5,3,4,5,0
Boeing 747-400,Solo Leisure,Business Class,Other,September 2015,3,5,5,4,3,2,1
A320,Solo Leisure,Economy Class,Other,October 2015,3,1,1,3,1,3,0
Not available,Couple Leisure,Economy Class,Other,September 2015,4,3,2,3,2,4,0
Boeing 747-400,Business,Economy Class,Other,September 2015,1,3,3,1,1,1,0
Not available,Family Leisure,Business Class,Other,Other,4,2,1,4,4,1,1
Not available,Business,Business Class,Other,September 2015,3,4,4,4,3,3,0
Other,Solo Leisure,Economy Class,Other,September 2015,4,5,4,3,5,3,1
Boeing 747-400,Solo Leisure,Economy Class,Other,September 2015,1,4,1,3,2,2,0
A319,Family Leisure,Economy Class,Other,August 2015,4,4,4,4,4,1,1
Boeing 747-400,Couple Leisure,Economy Class,London to Johannesburg,September 2015,1,3,1,1,1,2,0
A320,Business,Economy Class,Other,September 2015,4,4,4,5,4,4,1
Not available,Couple Leisure,Economy Class,Other,September 2015,1,3,1,4,2,1,0
Not available,Couple Leisure,Economy Class,Other,August 2015,1,2,3,3,2,2,0
Not available,Solo Leisure,Business Class,Other,September 2015,4,1,3,4,1,4,0
Boeing 747-400,Family Leisure,Economy Class,Other,September 2015,1,2,1,2,1,1,0
A320,Solo Leisure,Business Class,Other,September 2015,3,5,4,5,3,1,1
A320,Solo Leisure,Business Class,Other,September 2015,1,5,4,1,3,2,1
A320,Family Leisure,Economy Class,Other,September 2015,4,5,1,3,4,4,1
Boeing 747-400,Business,Business Class,Other,September 2015,4,3,5,4,3,3,1
A320,Business,Business Class,Other,September 2015,2,3,4,5,3,3,1
Not available,Family Leisure,Economy Class,Other,August 2015,4,3,1,4,4,3,0
Boeing 777,Couple Leisure,Business Class,Other,Other,4,4,4,4,5,4,1
Boeing 777,Business,Business Class,Other,September 2015,2,2,1,3,2,2,0
Boeing 747-400,Solo Leisure,Business Class,Vancouver to London,September 2015,3,4,3,4,2,1,0
A320,Solo Leisure,Economy Class,Other,September 2015,4,4,3,4,5,2,1
Not available,Couple Leisure,Economy Class,Other,September 2015,1,1,3,1,1,3,0
Boeing 777,Solo Leisure,Premium Economy,Other,September 2015,5,5,5,5,5,5,1
Not available,Couple Leisure,Economy Class,Other,September 2015,3,2,1,2,2,3,0
A320,Couple Leisure,Business Class,Other,September 2015,1,5,3,3,1,2,0
Boeing 767,Couple Leisure,Economy Class,Other,September 2015,1,4,2,1,2,1,0
A320,Couple Leisure,Economy Class,Other,September 2015,5,3,3,4,5,3,1
Boeing 747-400,Couple Leisure,Economy Class,LHR to MIA,September 2015,3,5,5,4,4,4,1
A320,Solo Leisure,Economy Class,Other,August 2015,1,2,1,4,2,2,0
Other,Business,Business Class,Other,September 2015,5,5,5,5,4,3,1
A320,Couple Leisure,Economy Class,Other,September 2015,5,5,3,5,5,3,1
Other,Business,Business Class,Other,September 2015,1,5,2,3,1,1,0
A320,Couple Leisure,Business Class,Other,September 2015,2,2,2,2,2,1,0
Boeing 747-400,Couple Leisure,First Class,Other,September 2015,2,5,2,2,1,1,0
A320,Solo Leisure,Economy Class,Other,August 2015,4,3,4,5,4,3,1
Other,Family Leisure,Business Class,Other,July 2015,1,4,1,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,September 2015,3,3,2,1,3,3,0
Other,Solo Leisure,Business Class,Other,September 2015,5,5,5,5,4,5,1
Boeing 747-400,Couple Leisure,Premium Economy,Other,September 2015,4,5,3,4,5,2,0
Not available,Couple Leisure,Economy Class,Other,September 2015,1,1,1,1,1,1,0
Not available,Business,Business Class,Other,September 2015,1,2,1,3,1,1,0
Boeing 747-400,Couple Leisure,Economy Class,Other,July 2015,2,2,1,3,3,1,0
Boeing 747-400,Couple Leisure,Economy Class,Other,September 2015,1,3,2,3,3,1,0
Other,Solo Leisure,Business Class,Other,September 2015,1,2,1,3,2,1,0
Boeing 777,Solo Leisure,Premium Economy,Other,September 2015,3,5,5,4,5,3,1
Not available,Couple Leisure,Economy Class,Other,August 2015,2,2,3,1,1,3,1
Boeing 747-400,Solo Leisure,Premium Economy,LHR to MIA,September 2015,5,5,5,5,5,3,1
Not available,Solo Leisure,Business Class,Other,September 2015,1,1,3,1,1,5,0
Boeing 767,Couple Leisure,Economy Class,Other,September 2015,5,5,4,5,5,5,1
Boeing 777-200,Couple Leisure,Economy Class,Other,September 2015,1,4,2,3,2,2,0
Boeing 777-200,Couple Leisure,Economy Class,Other,August 2015,3,4,3,3,3,3,1
A319,Couple Leisure,Economy Class,Other,August 2015,3,4,4,3,4,2,1
A380,Couple Leisure,Business Class,Other,September 2015,3,4,4,4,3,4,1
A319,Couple Leisure,Business Class,Other,August 2015,1,4,2,1,2,5,0
A320,Business,Business Class,Other,September 2015,5,5,5,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,September 2015,1,3,2,1,1,1,0
Boeing 777,Solo Leisure,Economy Class,Other,Other,1,1,1,1,1,1,0
Boeing 777,Couple Leisure,First Class,Other,Other,4,2,1,1,1,2,0
Not available,Solo Leisure,Economy Class,Other,September 2015,1,3,2,2,2,1,0
Other,Family Leisure,Economy Class,Other,September 2015,1,1,3,1,1,2,0
A319,Solo Leisure,Business Class,Other,August 2015,4,4,4,4,5,4,1
A321,Solo Leisure,Economy Class,Other,August 2015,3,3,3,2,3,2,1
Boeing 777-200,Couple Leisure,Economy Class,Other,August 2015,2,3,4,4,3,1,0
Boeing 747-400,Family Leisure,Economy Class,Other,August 2015,1,1,1,3,1,2,0
A320,Business,Business Class,Other,September 2015,1,3,2,2,1,2,0
Boeing 777,Solo Leisure,Economy Class,Other,September 2015,1,1,1,1,2,1,0
A319,Couple Leisure,Economy Class,Other,August 2015,4,5,5,4,5,4,1
Boeing 777,Business,First Class,Other,September 2015,3,5,4,4,3,3,0
Boeing 747-400,Business,Business Class,Other,August 2015,1,1,1,1,1,1,0
Not available,Family Leisure,Economy Class,Other,August 2015,1,2,1,3,1,1,0
Boeing 747-400,Business,Business Class,Other,September 2015,2,3,2,3,2,2,0
Boeing 777-200,Couple Leisure,Business Class,Other,August 2015,3,4,4,4,2,4,0
A380,Couple Leisure,Business Class,Other,August 2015,5,4,5,4,3,3,1
A320,Couple Leisure,Business Class,Other,August 2015,3,4,3,3,3,4,1
Boeing 747-400,Business,First Class,Other,August 2015,1,5,4,2,2,3,0
A321,Business,Business Class,Other,August 2015,2,4,3,3,3,1,1
A380,Couple Leisure,Business Class,Other,August 2015,3,1,3,2,2,2,0
Boeing 747-400,Family Leisure,Economy Class,Other,August 2015,1,1,1,1,1,1,0
Boeing 747-400,Family Leisure,Economy Class,Other,September 2015,1,2,3,3,2,1,0
Boeing 767,Couple Leisure,Economy Class,Other,August 2015,5,5,2,4,4,2,1
Not available,Family Leisure,Economy Class,Other,August 2015,5,5,5,4,5,1,1
A320,Solo Leisure,Economy Class,Other,August 2015,5,5,5,5,5,4,1
Boeing 777,Couple Leisure,Business Class,Other,July 2015,3,2,2,3,2,2,0
A320,Solo Leisure,Economy Class,Other,July 2015,2,1,2,1,3,1,0
A320,Family Leisure,Economy Class,Other,August 2015,4,2,3,5,5,5,1
Not available,Family Leisure,Economy Class,Other,August 2015,4,5,4,1,2,1,0
A319,Business,Economy Class,Other,June 2015,2,4,3,3,3,1,0
Boeing 747-400,Business,Economy Class,Other,August 2015,1,2,1,3,1,1,0
Boeing 747,Family Leisure,Economy Class,Other,August 2015,1,4,1,1,1,1,0
Boeing 767,Business,Business Class,Other,August 2015,3,5,4,4,4,1,1
A319,Business,Economy Class,Other,August 2015,2,2,2,1,1,3,0
Other,Couple Leisure,Business Class,Other,August 2015,3,2,2,2,3,1,0
Not available,Solo Leisure,Business Class,Other,August 2015,3,4,3,4,2,3,1
Not available,Family Leisure,Economy Class,Other,August 2015,3,1,3,5,3,1,0
A321,Couple Leisure,Business Class,Other,August 2015,4,3,3,3,4,1,0
Other,Solo Leisure,Economy Class,Other,August 2015,4,3,3,5,5,1,1
Other,Couple Leisure,Economy Class,Other,August 2015,1,2,1,3,1,1,0
A319,Couple Leisure,Economy Class,Other,August 2015,1,4,2,4,2,1,0
Not available,Couple Leisure,Economy Class,Other,August 2015,2,2,2,1,1,1,0
A319,Couple Leisure,Economy Class,Other,August 2015,5,5,5,5,5,5,1
A320,Solo Leisure,Economy Class,Other,August 2015,3,1,2,1,2,4,0
A380,Business,First Class,Other,August 2015,4,5,4,3,5,4,1
Other,Business,Business Class,Other,August 2015,4,4,2,1,3,3,1
Boeing 747-400,Family Leisure,Economy Class,Other,August 2015,3,4,4,5,4,4,1
Not available,Couple Leisure,Economy Class,Other,August 2015,1,2,2,3,1,2,0
A319,Solo Leisure,Business Class,Other,August 2015,4,5,5,3,4,4,1
Not available,Family Leisure,Economy Class,Other,August 2015,5,5,4,5,5,4,1
A319,Couple Leisure,Economy Class,Other,August 2015,4,4,3,4,4,4,1
Not available,Family Leisure,Business Class,Other,August 2015,4,1,2,1,1,3,0
Not available,Family Leisure,Business Class,Other,August 2015,5,5,5,5,5,1,1
A380,Business,Business Class,Other,August 2015,1,1,3,1,1,2,0
A380,Family Leisure,Economy Class,Other,August 2015,2,1,1,3,1,4,0
A320,Family Leisure,Economy Class,Other,August 2015,4,5,5,4,5,1,1
Not available,Couple Leisure,Economy Class,Other,August 2015,4,3,4,1,3,3,0
A320,Family Leisure,Business Class,Other,August 2015,5,5,5,5,5,2,1
Other,Couple Leisure,Business Class,Other,July 2015,4,5,5,5,5,5,1
Not available,Business,Economy Class,Other,Other,3,3,3,1,2,3,0
Other,Couple Leisure,Economy Class,Other,August 2015,2,3,2,1,1,4,0
Boeing 777,Couple Leisure,First Class,Other,July 2015,2,3,1,1,1,2,0
Not available,Family Leisure,Economy Class,Other,August 2015,1,1,3,1,1,3,0
Boeing 747,Family Leisure,Economy Class,Other,August 2015,1,3,3,1,1,1,0
Boeing 777,Couple Leisure,Business Class,Other,August 2015,3,5,3,3,3,3,1
Boeing 767,Couple Leisure,Business Class,Other,August 2015,1,3,2,3,1,3,0
Not available,Couple Leisure,Economy Class,Other,August 2015,5,5,4,5,4,1,1
Boeing 747,Family Leisure,Business Class,Other,July 2015,5,5,5,5,5,5,1
Boeing 747-400,Family Leisure,Economy Class,Other,Other,5,5,5,5,4,5,1
Not available,Family Leisure,Economy Class,Other,June 2015,1,1,2,1,1,1,0
Not available,Business,Business Class,Other,Other,5,5,2,4,4,5,1
Boeing 777,Solo Leisure,Business Class,Other,July 2015,1,4,2,3,2,3,0
Boeing 777,Solo Leisure,First Class,Other,June 2015,1,1,3,1,1,1,0
A319,Solo Leisure,Economy Class,Other,August 2015,4,5,4,5,5,1,1
Boeing 767,Couple Leisure,Business Class,Other,August 2015,4,5,5,5,5,4,1
Other,Solo Leisure,Economy Class,Other,July 2015,4,3,2,2,5,2,1
Other,Solo Leisure,Economy Class,Other,August 2015,4,3,5,3,5,3,1
Not available,Family Leisure,Economy Class,Other,August 2015,3,2,4,2,3,4,0
Boeing 747-400,Business,Business Class,Other,August 2015,2,2,2,2,1,3,0
Boeing 767,Solo Leisure,Economy Class,Other,August 2015,4,4,4,4,3,2,1
Not available,Solo Leisure,Economy Class,Other,August 2015,1,1,1,1,2,1,0
A319,Solo Leisure,Economy Class,Other,August 2015,4,5,4,4,4,3,1
Not available,Solo Leisure,Economy Class,Other,Other,3,2,3,3,3,2,0
Boeing 777,Couple Leisure,Economy Class,Other,August 2015,1,1,1,1,1,2,0
Boeing 747-400,Business,Economy Class,Other,July 2015,1,2,2,2,1,1,0
Other,Couple Leisure,Economy Class,Cape Town to London,June 2015,2,3,2,3,3,3,1
Other,Couple Leisure,Economy Class,London to Cape Town,July 2015,2,4,3,3,3,2,1
Boeing 777,Business,First Class,Other,August 2015,2,4,3,1,1,2,0
Boeing 777,Family Leisure,Economy Class,Other,August 2015,1,2,1,2,1,1,0
A319,Solo Leisure,Business Class,Other,June 2015,1,3,2,3,1,1,0
Boeing 777,Business,Business Class,Other,July 2015,2,1,1,2,2,3,0
Not available,Family Leisure,Premium Economy,Other,July 2015,3,5,3,4,1,3,0
Not available,Couple Leisure,Premium Economy,Other,July 2015,2,5,4,5,3,4,0
Not available,Business,Economy Class,Other,July 2015,3,1,1,4,2,1,0
Other,Couple Leisure,Economy Class,Other,July 2015,1,4,4,2,1,3,0
Other,Business,Economy Class,Other,July 2015,4,2,2,3,2,3,0
Boeing 747-400,Business,Business Class,Cape Town to London,July 2015,2,1,2,5,1,2,0
Not available,Family Leisure,Premium Economy,Other,July 2015,2,1,2,2,3,3,0
Other,Family Leisure,Economy Class,Other,July 2015,4,3,3,4,4,4,1
Boeing 747-400,Solo Leisure,First Class,Other,June 2015,4,1,3,2,1,1,0
Boeing 747,Business,First Class,Other,July 2015,2,3,2,1,1,1,0
A321,Business,Economy Class,Other,July 2015,4,5,5,4,5,3,1
Boeing 777,Business,Business Class,Other,July 2015,1,2,4,3,4,4,0
Not available,Couple Leisure,Economy Class,Other,July 2015,1,1,3,1,1,3,0
Boeing 767,Business,Business Class,Other,July 2015,5,5,5,5,5,3,1
Other,Business,Business Class,Other,July 2015,1,1,2,2,1,1,0
Not available,Couple Leisure,Business Class,Other,July 2015,1,4,2,2,1,2,0
A319,Solo Leisure,Economy Class,Other,July 2015,4,1,4,3,3,4,1
Boeing 777,Couple Leisure,Business Class,Other,Other,5,5,4,5,5,4,1
A319,Business,Economy Class,Other,July 2015,1,3,2,4,2,3,0
A320,Business,Economy Class,Other,Other,3,2,2,2,3,1,0
Not available,Solo Leisure,Economy Class,Other,July 2015,1,3,2,1,1,4,0
Boeing 777-200,Couple Leisure,Economy Class,Other,July 2015,4,1,1,3,3,5,0
Other,Solo Leisure,Economy Class,Other,July 2015,2,3,3,4,4,4,0
Boeing 777-200,Family Leisure,Economy Class,Other,July 2015,4,4,4,4,4,3,1
Boeing 777-200,Solo Leisure,Economy Class,Other,July 2015,4,2,3,3,3,4,1
Other,Solo Leisure,Premium Economy,Other,July 2015,4,2,4,3,3,3,1
Boeing 777,Business,Business Class,Other,July 2015,2,1,1,3,2,2,0
Not available,Couple Leisure,First Class,Other,July 2015,4,5,3,4,2,4,1
Boeing 777-200,Couple Leisure,Business Class,Other,July 2015,4,5,3,4,5,4,1
Boeing 747-400,Solo Leisure,Economy Class,Other,July 2015,1,2,3,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,July 2015,2,3,3,4,3,4,1
Boeing 747-400,Solo Leisure,Business Class,Other,June 2015,5,5,5,5,5,3,1
Boeing 747-400,Solo Leisure,First Class,Other,July 2015,5,5,5,5,5,3,1
Boeing 747,Solo Leisure,Business Class,Other,July 2015,2,3,1,3,2,1,0
Other,Solo Leisure,Economy Class,Other,Other,1,5,3,5,2,4,0
Other,Family Leisure,Economy Class,Other,June 2015,3,5,4,4,5,3,1
A321,Business,Economy Class,Other,July 2015,3,3,4,1,2,1,0
A320,Solo Leisure,Business Class,Other,Other,5,5,5,5,4,4,1
A380,Couple Leisure,Economy Class,Other,Other,4,5,4,5,3,5,1
Boeing 747-400,Business,Business Class,Other,July 2015,1,5,4,1,3,1,0
A320,Solo Leisure,Economy Class,Other,July 2015,2,4,1,1,3,1,0
Other,Couple Leisure,Business Class,Other,June 2015,4,4,5,4,4,3,1
A321,Family Leisure,Economy Class,Other,Other,5,5,4,4,5,1,1
Not available,Business,Economy Class,Other,June 2015,1,1,1,1,1,3,0
A320,Family Leisure,Business Class,Other,June 2015,1,5,5,5,4,2,1
Boeing 747-400,Couple Leisure,Premium Economy,Other,Other,4,5,4,3,4,5,1
Boeing 767,Business,Business Class,Other,July 2015,1,4,1,3,1,1,0
Boeing 777,Business,Business Class,Other,July 2015,2,4,3,4,3,2,0
Other,Business,First Class,Other,July 2015,2,1,1,2,1,1,0
Boeing 777,Business,Business Class,Other,June 2015,2,2,2,2,2,3,0
Boeing 767,Business,Business Class,Other,July 2015,1,3,2,1,1,1,0
Boeing 747-400,Business,Business Class,Other,July 2015,1,3,2,2,2,3,0
Not available,Family Leisure,Economy Class,Other,June 2015,3,2,1,1,1,5,0
Other,Solo Leisure,Business Class,Other,Other,5,5,5,5,3,5,1
Not available,Business,Economy Class,Other,June 2015,1,1,1,2,1,1,0
Boeing 777,Family Leisure,Economy Class,Other,June 2015,1,2,1,1,2,1,0
A320,Solo Leisure,Economy Class,Other,July 2015,3,5,4,5,5,1,1
Not available,Family Leisure,Economy Class,Other,July 2015,2,1,2,3,2,2,0
Not available,Family Leisure,Economy Class,Other,July 2015,2,3,1,1,1,2,0
Not available,Family Leisure,Economy Class,Other,June 2015,1,1,3,3,1,3,0
Other,Solo Leisure,Economy Class,Other,June 2015,1,2,1,1,1,3,0
Not available,Solo Leisure,Business Class,Other,July 2015,3,3,4,4,4,2,0
Not available,Couple Leisure,Economy Class,Other,June 2015,4,3,1,1,1,4,0
A380,Solo Leisure,Economy Class,Other,June 2015,4,5,3,4,5,5,1
Boeing 777-200,Family Leisure,Economy Class,Other,Other,4,4,3,4,5,3,1
Not available,Couple Leisure,Premium Economy,Other,June 2015,3,2,2,3,1,3,0
Other,Solo Leisure,Economy Class,Other,June 2015,1,3,2,1,1,3,0
Not available,Couple Leisure,Economy Class,Other,Other,2,1,1,2,2,2,0
Not available,Couple Leisure,Economy Class,Other,Other,2,3,3,3,2,3,0
Other,Solo Leisure,Business Class,Other,June 2015,4,5,5,4,4,1,1
Boeing 767,Couple Leisure,Business Class,Other,June 2015,2,5,2,2,2,2,0
A320,Couple Leisure,Business Class,Other,June 2015,3,4,5,1,4,2,1
A319,Solo Leisure,Economy Class,Other,June 2015,5,5,3,5,4,4,1
Other,Couple Leisure,Business Class,London to Johannesburg,Other,3,2,2,3,2,4,0
Other,Couple Leisure,Economy Class,Other,June 2015,3,4,3,1,1,1,0
A320,Business,Business Class,Other,Other,2,5,4,4,4,4,1
Other,Solo Leisure,Economy Class,Other,Other,1,4,3,4,2,3,0
Not available,Business,Business Class,Other,June 2015,3,5,5,4,4,4,1
A320,Solo Leisure,First Class,Other,June 2015,3,3,3,1,3,3,0
A320,Couple Leisure,Business Class,Other,June 2015,2,4,5,4,4,1,1
Other,Solo Leisure,First Class,LHR to MIA,June 2015,4,5,5,5,5,4,1
Other,Business,Business Class,Other,Other,5,5,4,4,3,5,1
Not available,Solo Leisure,Economy Class,Other,Other,1,4,3,1,1,2,0
Not available,Couple Leisure,Business Class,Other,June 2015,3,5,4,4,3,3,1
A320,Solo Leisure,Economy Class,Other,June 2015,4,5,4,4,4,2,1
Other,Solo Leisure,Business Class,Other,June 2015,4,3,3,3,3,4,1
Not available,Couple Leisure,Economy Class,Other,June 2015,5,5,5,5,5,3,1
Not available,Solo Leisure,Economy Class,Other,June 2015,5,5,3,4,5,4,1
Other,Solo Leisure,Economy Class,Other,Other,3,4,4,4,4,4,1
A320,Couple Leisure,Economy Class,Other,June 2015,3,5,3,4,4,5,1
A321,Business,Business Class,Other,Other,1,3,2,3,1,1,0
Other,Solo Leisure,Economy Class,Other,Other,3,5,4,1,4,2,1
Other,Solo Leisure,Business Class,Other,June 2015,4,5,2,1,5,4,1
A321,Solo Leisure,Economy Class,Other,June 2015,4,5,3,1,4,1,1
A321,Solo Leisure,Economy Class,Other,Other,4,5,4,3,4,1,1
A319,Business,Business Class,Other,August 2016,5,2,2,1,1,1,0
Boeing 777,Couple Leisure,Business Class,Other,Other,3,4,3,4,3,4,0
Other,Business,Business Class,Other,April 2017,3,5,3,5,4,4,1
Not available,Family Leisure,Economy Class,Other,December 2015,3,5,5,1,4,5,1
Boeing 747-400,Business,Business Class,Other,August 2017,4,5,4,5,5,3,1
Boeing 747-400,Business,Business Class,Other,August 2019,4,2,3,4,3,4,1
Not available,Business,Premium Economy,Other,August 2015,4,1,1,5,3,3,0
Not available,Business,Business Class,Other,April 2016,2,5,2,3,3,3,1
Other,Family Leisure,Business Class,Other,Other,4,5,5,2,5,2,1
Not available,Couple Leisure,First Class,Other,July 2017,4,3,1,3,3,4,1
Not available,Couple Leisure,Business Class,Other,August 2017,1,1,1,2,1,1,0
Not available,Couple Leisure,Economy Class,Other,Other,1,1,2,1,1,2,0
Not available,Solo Leisure,Economy Class,Other,Other,1,4,1,1,1,2,0
Not available,Couple Leisure,Business Class,Other,August 2015,3,3,4,5,3,1,0
Not available,Family Leisure,Business Class,Other,November 2019,3,3,2,3,2,1,0
Not available,Couple Leisure,Economy Class,Other,May 2016,4,3,2,2,2,1,0
Not available,Couple Leisure,Premium Economy,Other,June 2016,1,4,2,1,1,1,0
Not available,Couple Leisure,Premium Economy,Other,Other,3,3,2,5,3,1,0
Not available,Solo Leisure,Economy Class,Other,December 2016,4,4,4,5,5,3,1
Not available,Business,Economy Class,Other,January 2017,2,1,1,2,2,3,0
Not available,Solo Leisure,Premium Economy,Other,April 2017,5,5,4,1,4,3,1
Not available,Solo Leisure,Economy Class,Other,September 2015,4,4,4,1,4,1,1
Not available,Business,Economy Class,Other,Other,4,4,4,4,4,3,1
Not available,Solo Leisure,Premium Economy,Other,May 2019,4,5,3,2,5,4,0
Not available,Business,Economy Class,Other,July 2015,5,5,5,1,5,4,1
Not available,Solo Leisure,Premium Economy,Other,September 2019,2,1,1,4,1,1,0
Not available,Couple Leisure,Business Class,New York to London,March 2023,1,4,1,3,1,1,0
Not available,Family Leisure,First Class,Other,October 2015,5,5,4,1,3,5,1
Not available,Family Leisure,Economy Class,Other,May 2018,1,2,1,1,1,3,0
Not available,Solo Leisure,Economy Class,Other,September 2015,3,2,3,1,2,3,0
Not available,Business,Economy Class,Other,October 2015,3,2,1,1,2,1,0
Not available,Couple Leisure,Economy Class,Other,September 2015,1,1,1,1,1,2,0
Not available,Solo Leisure,Premium Economy,Other,August 2019,5,5,3,3,4,2,1
Not available,Couple Leisure,First Class,LHR to HKG,February 2016,5,5,5,2,5,5,1
Not available,Solo Leisure,Economy Class,Other,November 2016,4,5,3,2,5,4,1
Not available,Solo Leisure,Business Class,Other,Other,1,3,1,5,1,1,0
Not available,Couple Leisure,Economy Class,Other,Other,2,3,2,1,3,2,1
Not available,Business,Business Class,Other,July 2017,4,4,4,2,4,3,1
Not available,Couple Leisure,Economy Class,Other,March 2018,5,5,3,1,5,3,1
